RegionID,SizeRank,RegionName,RegionType,StateName,State,Metro,CountyName,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31
6181,0,New York,city,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",Queens County,2706.113852093767,2722.4694356166683,2742.5174858925852,2769.9931696945446,2792.172583964549,2815.940211209447,2829.7601989709624,2842.305692404315,2848.2610348913468,2845.2780694545017,2831.386113468495,2813.9480495249945,2806.0586177814976,2808.7297347906556,2818.995830761591,2834.35588801728,2851.670436395806,2870.7285105850146,2885.127940598097,2891.1311684492625,2889.51916727489,2878.5989396167984,2863.4213394445496,2838.6644656472463,2833.4428531251115,2832.5646824087285,2850.066038614289,2863.4201860535454,2887.645333382879,2908.472253908811,2921.301754514158,2924.7959268587238,2916.6601625153457,2896.1499848389117,2869.906346383543,2849.473588736581,2846.571691115583,2855.493133401245,2874.223302677691,2898.2672285518215,2923.071203995532,2945.2914360576656,2961.1068088420325,2971.696398394175,2972.9267749710016,2960.5071776958007,2941.5080586754584,2925.08742601919,2919.8887532666326,2929.9100892252695,2947.8896660272594,2973.1831241632117,3000.634558538855,3028.7299527103687,3049.3865943107476,3062.196755051881,3063.4478401851366,3058.276424811921,3038.6739298595585,3026.5096433974545,3023.9788945339747,3044.7017753679306,3059.0631558802306,3047.5698857167285,3016.318414139845,2974.3926684917137,2932.8019826,2864.656520523651,,2718.016933495983,2669.101158259394,2642.069515610571,2630.819897350001,2644.2824130758027,2674.300162135485,2719.295618980115,2779.8674797303897,2856.149131537207,2943.1815806916666,3023.6603426930587,3090.0039238814384,3126.166567935932,3154.438160698689,3172.180653808366,3202.9165516153735,3243.2689833216014,3291.481216774762,3344.876393710797,3408.5473670398346,3478.8380878190874,3536.1652878708014,3569.5973320029652,3571.793051595231,3551.326145501033,3505.509862919162,3471.5934380631033,3461.6251636995385,3475.71121948529,3499.83208190986,3536.239357782914,3582.5774111987002,3630.2037132363575,3662.7391257141594,3673.293420298156
12447,1,Los Angeles,city,CA,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,1916.7110030651586,1932.020914615232,1950.425948651005,1963.0718041424132,1986.5657918706754,1997.8996639607608,2014.7687597543759,2023.823312244243,2039.992126048086,2049.460423666666,2054.7506761392874,2059.286797687203,2073.203138979321,2094.823937627004,2111.790515127528,2119.634613705919,2132.284378028833,2149.832294797833,2161.3005232101655,2162.334527609698,2159.990134004051,2163.9889444101104,2163.2382003177663,2164.3276660612105,2185.7018417777226,2206.4615816026353,2239.4090790031432,2247.265195437991,2262.9903865640863,2270.1531166674704,2282.467392084456,2292.7172804185566,2295.567876207275,2301.108962134695,2304.562509358011,2310.806827491289,2317.78762928979,2332.683066150253,2343.0274926468037,2355.4118383956497,2363.752890670233,2380.2938611338454,2394.6428149907065,2408.951503477205,2417.1997845019328,2419.582666300417,2419.9114781494923,2423.500467393,2429.8761495126228,2433.4542904226223,2445.026610312583,2456.1188910155224,2469.26661266438,2481.8182918330967,2492.9219203667144,2501.349352534765,2503.651081653676,2502.331266617054,2501.4048949869853,2503.6937681456325,2508.3068137447667,2513.970444147513,2510.7484063997986,2497.146851224978,2480.450855208023,2468.1089388853384,2462.248035471496,2454.959658869245,2444.4341907938697,2436.9268819294953,2433.0904702541266,2429.085882134354,2425.8273039539777,2423.3082770321657,2431.1114942660242,2442.9456452637123,2465.1088603938474,2497.280655940316,2541.4784143569746,2593.0211472092424,2631.774794634104,2658.807033876434,2675.528686909449,2695.3165734256927,2717.4011503733113,2738.4371783567813,2759.6740010713797,2782.890356710598,2813.1123518484746,2837.7531089572653,2863.5267430579283,2881.565894624731,2896.0511406851024,2891.576848950667,2884.126629681757,2879.189423858913,2874.5240242498894,2877.8957443178983,2882.1268926683947,2896.2340876713142,2898.4032560348414,2902.5505267376698,2906.1405963910793,2914.8822938968947
39051,2,Houston,city,TX,TX,"Houston-The Woodlands-Sugar Land, TX",Harris County,1227.7601033266662,1232.43378089404,1238.6235796299,1250.436757700532,1261.1507779901494,1271.5349004905947,1272.0568615161776,1272.1637949662593,1265.39161227465,1261.5850049824926,1259.3033874480577,1259.991715464237,1260.798621477817,1259.9300676789926,1265.6035893950598,1271.459780386775,1276.4215930875173,1276.3185147122217,1273.4788988259104,1269.0303864242076,1261.932920595024,1251.4285138879168,1240.468587622503,1232.3703428513977,1241.2388569849024,1255.5316334389563,1271.0347858067867,1274.2615562754381,1281.818519043827,1281.838976754034,1281.9403357290762,1275.7266467443242,1283.3527438969356,1293.2153706120407,1307.0616529695321,1317.8447311193434,1319.4959765004348,1325.3165743946183,1322.038668369795,1330.7632344070519,1331.658763258761,1338.0595813286534,1336.7959392517591,1334.8793969651447,1330.6954707831158,1329.4871932688568,1332.6177508067537,1332.0776462097194,1333.133233151671,1329.3701093625364,1334.9344450976384,1339.8793591965555,1349.5161834350397,1356.879439931085,1360.30463296284,1360.4518385557244,1356.261717993535,1355.3522641063091,1353.6639056654376,1357.4916066790186,1359.8656254920725,1367.286648897664,1372.6121345567258,1367.8496861781073,1358.4728644679085,1348.2882654680955,1350.3843725242684,1352.253006527882,1352.0263627975114,1352.6322864755177,1355.487885394656,1353.2205847141086,1351.3517546235305,1345.1664994978692,1351.493960914193,1363.2294830165094,1385.9191825839664,1413.9626593455394,1440.5810241652757,1463.422862387391,1476.4909602991977,1482.7689779209752,1485.9052860079844,1487.8467830728825,1496.3657245707416,1506.260296536102,1517.628701187738,1526.1754219714082,1536.86597803757,1549.3051943472492,1559.4912074961353,1564.5296400583943,1562.1670805617907,1556.0328113361224,1554.2816010395347,1554.5218817621692,1564.0437526684116,1572.1482079843304,1580.1614866005923,1583.3993330277208,1590.4104458895667,1599.6479600557911,1606.7034573578112,1605.867104021778
17426,3,Chicago,city,IL,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,1530.361177671444,1540.338040229489,1552.310963149266,1564.0545768803331,1578.3445321572733,1589.9595370200695,1596.5520190429602,1599.2293309459728,1592.1524796811314,1582.3523312601576,1572.1953985907996,1571.130602833258,1583.034724637835,1595.8208126674706,1610.4286712383455,1618.4841944704465,1629.167997169544,1641.71445193917,1650.9033310867328,1655.0626478728832,1645.4358393295454,1627.0515974329164,1603.9793792494706,1591.199386839918,1602.3018838953406,1625.2904542375406,1650.6741691259733,1663.3454853053574,1675.3257190674692,1681.4433913919836,1683.6030058247168,1676.9418300500367,1666.859516929547,1652.6796699137287,1641.9734700701842,1640.5558341379365,1649.4537417294514,1664.375869733045,1677.204892729077,1690.4273918394063,1702.319436438527,1713.2490677655517,1716.9957172635063,1711.9319875854094,1696.966028503914,1681.715269367426,1672.3622951064847,1673.8089483011158,1685.017483366838,1698.8347248472783,1717.3326512592048,1732.5259261755593,1745.4191110024249,1754.0262898463209,1758.4958825123178,1761.3540352420023,1754.2298879832326,1743.4881095825658,1731.3874875162953,1726.3999422048191,1737.0831150828167,1751.7750781613386,1767.5080725783287,1767.118242625552,1763.9836392374202,1758.6735192225308,1754.9506654572806,1741.8869042374695,1717.7872415622076,1685.0483518922126,1657.5589765125442,1643.0094006671359,1639.5639518976047,1650.4392497292145,1674.450128783147,1710.0754177037174,1745.032534493568,1772.9168857284692,1791.1172355699894,1802.355666605814,1803.6587640339246,1802.662148203787,1798.6486701106476,1805.3807645841728,1821.6194660286103,1843.726386839735,1869.4606870623754,1894.010458777524,1921.01295546632,1941.5453928686748,1958.6866713495392,1962.8483038873896,1961.9249969805478,1958.0015634054866,1953.0648256298975,1953.6465791799312,1962.5225408336817,1976.7577606566274,1993.6809184653955,2010.7596605951353,2037.49017534682,2061.0335742046163,2073.7478890933407,2077.3862367669153
6915,4,San Antonio,city,TX,TX,"San Antonio-New Braunfels, TX",Bexar County,1032.642801995673,1037.497783837786,1044.9488189666347,1053.710828880494,1062.5236301074426,1070.1250759526959,1071.1112978974109,1069.6554411066184,1069.6716678738694,1075.0712516922256,1077.601222297492,1078.1660620189086,1078.2514198491485,1081.5367819947885,1089.0526708929115,1096.7845692506583,1104.4909699905675,1107.2456496149568,1110.331713796991,1111.9929030917974,1112.0041588060253,1107.651976042608,1105.7110555876036,1106.5718622488891,1115.388242988377,1122.0558675157588,1129.5119880353068,1133.4736091226273,1138.927981331526,1147.7327126746468,1151.7506171146024,1151.8286513622413,1147.291934981636,1143.55421996217,1140.284819997268,1140.765969029453,1141.378109291147,1145.2693602816148,1151.0959593332861,1157.691634765042,1164.804539271665,1170.7819845019146,1179.0253612993258,1185.573782484661,1185.8982315302778,1185.2881908795175,1183.069257316466,1181.3410412561805,1182.2097038397822,1186.3815777541918,1194.535510350764,1200.9349909181738,1207.0328581069352,1212.575170328123,1220.0042933757702,1229.32502561302,1233.9735592651148,1233.1246275524777,1223.7955577868483,1221.411661347478,1220.8768088839881,1226.8924981665643,1229.7856353816455,1229.574157184161,1226.9978609044338,1226.7647322555922,1233.662299718469,1240.8902032429814,1245.8137833824328,1247.1655052158012,1248.4511076022252,1250.9687357133919,1250.3079534007777,1252.7674361431436,1258.2172790212041,1274.3680824984722,1293.2259953633634,1316.0842937557127,1343.1482006564988,1371.7504597178927,1396.044533542469,1407.358856585861,1411.737730178591,1417.2964005930032,1423.3573954699182,1432.583922223416,1442.957870067726,1457.2779273555814,1474.783490009476,1486.6066432139223,1500.9154187744628,1504.1545577210732,1505.6588150868777,1496.6673625562523,1493.8006046184978,1491.8712876796008,1498.6849257980189,1498.1566785702857,1504.381964295556,1505.0708111236677,1509.6163175864492,1507.735889490582,1508.8372542548,1508.664661936469
13271,5,Philadelphia,city,PA,PA,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Philadelphia County,1256.092629323223,1264.9021670119866,1285.170031214478,1293.7580690787036,1304.254718327619,1306.2274855917865,1309.1805029653428,1304.8253180664613,1299.3451962369168,1297.7417386017064,1294.1274574462166,1291.4025672291395,1289.2847542436018,1304.0312145941887,1319.2971650972681,1334.0493828723609,1340.2540771015886,1344.9552443995524,1344.3159770640514,1343.5688031761508,1337.864261629182,1330.5888660436474,1332.118452403265,1332.0503876427144,1341.9240406077417,1346.5613728593448,1362.580320763157,1370.910693416079,1376.3042308045904,1376.1367666689114,1377.2846722185798,1377.5516501629136,1377.180356216249,1374.136152826204,1372.310055286449,1373.266307476158,1377.8035317711542,1387.545075069478,1400.6403065800218,1410.577653424821,1418.3338358747612,1420.4773071890204,1419.8565802235164,1419.648367482819,1418.3964750243226,1422.5371307356563,1426.050555740155,1424.0246332457252,1427.7130278007398,1434.2101661773363,1451.1561769259827,1459.6285968895584,1465.2305454643788,1471.0869372816403,1476.4616138867473,1477.682064258062,1474.359571401877,1473.8047434327793,1473.6184682300266,1476.4271410901652,1479.3922943995105,1487.1364605190445,1494.9807579494068,1496.8157682640074,1495.602030821545,1495.5505727808943,1498.249942060233,1494.611445411717,1488.786648346839,1483.9721766765238,1483.9072069697904,1482.186404549536,1482.4921822859533,1486.197328291357,1496.4567476811596,1512.7404091970454,1531.8765469261446,1547.8996041477278,1561.109942052927,1573.3836744106331,1584.2188023230751,1592.5398807160375,1599.4277371863664,1610.3147484738809,1621.7086906602117,1630.3887645438622,1638.6684554621613,1650.6979903575734,1666.054137660817,1680.0220125839528,1686.1546901295603,1688.2809140982476,1690.4359296813893,1686.4573394992062,1687.5820214413027,1679.6694956238066,1685.3126086479372,1687.2562387501628,1696.9458391161363,1703.7128898800813,1711.7340358955364,1715.8298497431936,1720.5778433524833,1723.1607696528106
40326,6,Phoenix,city,AZ,AZ,"Phoenix-Mesa-Chandler, AZ",Maricopa County,908.2956604382034,920.3044057186216,927.4445379154557,939.8795785813501,943.9681087827778,951.9038575267374,950.4859359815284,953.3397874215296,957.4246137785361,960.1201631981438,964.0024540090338,963.8739985985695,971.2048254376973,975.8341798654044,985.2869926749701,995.4937847546184,1006.9872557860384,1014.6458345429405,1013.9264804726475,1012.4742910818854,1013.6363391092863,1015.5968775291273,1017.6234229815568,1017.4955148572332,1022.2606165150258,1030.668120860778,1043.0998687304086,1056.5451241752971,1069.2419884919489,1077.1442615941155,1080.315186891432,1081.5760257077798,1082.558345243332,1088.3006606133376,1089.2163906947208,1090.4948773286221,1090.607945854705,1097.9200004066545,1110.9187314919657,1124.0602073509629,1136.7764105913889,1145.3676020174576,1154.1416563574662,1160.0689125347387,1168.2474331040949,1174.79917854444,1180.4267384618354,1185.0964767173843,1187.2332408980656,1196.4990109291132,1206.6242409024542,1221.6603417922897,1233.0707945502652,1244.8277267418885,1254.2159761911057,1260.774720582922,1265.9337191415634,1268.6819456159826,1274.7632356229851,1281.9980575082725,1290.3621976192305,1298.1768108416009,1304.437519231272,1308.1606937358806,1308.9317060596327,1311.8322529857312,1321.0142429322748,1341.4235132055228,1355.2263582670314,1367.0804728923456,1371.6784569579534,1381.5106241938781,1391.4453753756263,1403.454976814709,1424.88130391666,1459.0365629151502,1503.757638132073,1551.4701501628053,1600.3203934701612,1644.280927713776,1679.208109713036,1699.9708918497097,1714.4561356881002,1724.1879188183805,1735.7575414772748,1744.680616549572,1758.2357806318792,1771.5032905617145,1784.8667757372418,1795.2454986366952,1801.8607647696156,1799.9619220186912,1795.0296307144886,1790.685066388084,1786.5732896384134,1783.4411812767314,1775.0279244778212,1775.466377029367,1781.7697216757638,1793.244843364619,1802.0214777780345,1802.783125663794,1803.4010656443334,1799.9328240150915
18959,7,Las Vegas,city,NV,NV,"Las Vegas-Henderson-Paradise, NV",Clark County,1019.0163813953307,1023.2283551056204,1028.3534578353042,1036.4565286602576,1044.0527567168901,1050.7145113946087,1055.6518675578259,1058.958265984825,1062.4090732992468,1060.8974784832737,1060.9549516950333,1060.297524831237,1064.0610104313587,1068.2709210392368,1073.1136385384043,1079.8882327915298,1088.4711374632266,1100.687885365624,1106.778779721693,1109.097357324273,1108.3986979675115,1108.626227598767,1108.9144134673088,1107.6861532135108,1113.7454566712265,1121.658135784321,1132.7403144035986,1139.5982528492254,1146.4918736834777,1154.2044046560663,1162.3551989518894,1168.9701373415342,1172.3634985988847,1173.246031302547,1175.4639877562383,1179.436294620826,1183.5362689233164,1191.8612884034046,1201.8288371013507,1216.969753243107,1228.6045285079417,1237.1402212100334,1244.9070106501244,1251.3861643490402,1258.3849979548074,1260.3466835847355,1262.4536181576427,1263.5991974618767,1268.6956296882486,1273.843338570274,1286.3966541824805,1297.3309323690692,1309.4580905667594,1317.4180303707485,1325.012187300966,1330.933905635932,1332.0411084243133,1332.250909791837,1332.0718339133475,1330.3373947989685,1330.8280283732029,1337.1657992698856,1346.2500815308379,1342.295658545803,1336.8593400602792,1336.4090849946156,1353.3855866057577,1370.6933620735103,1388.691817428658,1402.498938988942,1411.705577308476,1417.6990898102135,1426.5676340809553,1439.802143026927,1458.5643488889975,1484.7537184208109,1528.4854328173715,1582.913773789654,1637.2626998277444,1689.9294799880677,1727.6416809954655,1752.8802955855351,1755.9401671274302,1756.8716868599072,1762.198506893505,1772.4705613054027,1783.1051340143993,1794.1455621634825,1808.6461393143697,1824.6239726772083,1838.857964907322,1831.7301613038826,1815.4450641088868,1786.544321289395,1770.6904760277444,1757.3631585583605,1756.8756810558887,1757.9237505330457,1766.898260919892,1774.076924042179,1785.3451829574956,1791.6000521767899,1797.6484220307843,1794.362600962885
54296,8,San Diego,city,CA,CA,"San Diego-Chula Vista-Carlsbad, CA",San Diego County,1826.6526340644039,1838.0447587285732,1851.28638957726,1853.2018097970822,1867.7399278729492,1876.8695435037448,1897.501816655763,1911.9219715512272,1920.608731405832,1926.5609985248268,1925.4980628045505,1931.527851435267,1937.3385362299139,1946.5463729543717,1958.6922108038227,1966.008524216254,1979.8351993630488,1997.5605533934945,2013.6324879666386,2019.2161493331157,2016.7360599512858,2022.3918068680696,2023.5682858227538,2025.32376350481,2030.589762617075,2050.2111515011757,2071.5344164857993,2089.850724412427,2104.7131551352627,2119.722081637958,2136.9254737594333,2145.8738619616206,2149.109859590905,2144.47385220978,2146.225534740091,2148.2721944414493,2159.32023421591,2172.566363258889,2188.2341209309534,2201.454632614836,2217.8512052508545,2229.2012814985515,2243.405971837329,2254.4748455264707,2263.279474528598,2264.5209317399394,2254.3947755496442,2260.893118997003,2262.920286648654,2272.8140133542847,2275.5996223635652,2287.383058648623,2299.6377056355577,2313.2537330637733,2326.801848031578,2341.9872112280646,2344.108574572895,2344.3694928897235,2339.734945234678,2348.409931353718,2352.218321006869,2359.8230643637116,2360.267748638281,2348.790873119879,2337.9257391359706,2329.6979441721796,2340.5445248189867,2347.877868667835,2359.608884699004,2374.2390357648574,2391.6866749506617,2400.065489010246,2409.338762162068,2418.198802572906,2443.0697462797375,2477.785436786172,2519.641154992312,2568.2008608960023,2623.594029504022,2686.534712504196,2750.710795137404,2790.201486224564,2817.7725807110146,2832.0756016596724,2844.856883179123,2874.440841501967,2911.982830001441,2967.8724128000367,3015.375683584703,3062.305186979245,3103.147847365888,3138.4156607390755,3149.074821779609,3138.9154246374087,3116.058326328541,3097.226596637788,3093.7955375573933,3098.3543567730394,3120.606373318147,3148.772018091906,3188.5916230961275,3223.6217376379577,3248.2032053299104,3249.854259102616
38128,9,Dallas,city,TX,TX,"Dallas-Fort Worth-Arlington, TX",Dallas County,1102.7039369594913,1104.6579311729322,1114.3532957230968,1124.2317430770888,1141.5487164728859,1152.3442220908578,1163.1062602657864,1163.479808091029,1164.9246908529258,1169.7937828805398,1179.2259843410786,1183.1339381682585,1183.0101625310629,1184.792764317604,1191.21654202975,1202.3307289696959,1209.3837269031287,1221.018619049828,1228.0306846528283,1231.004709470693,1228.8871940807508,1225.5054824054407,1224.6292604110606,1225.9963785749771,1237.9331617124742,1247.9230279589767,1266.9405458563533,1275.879296955954,1289.2659853580633,1291.331199355116,1294.891840178129,1293.0005335544072,1293.9538945397258,1289.1739423954155,1297.264350866439,1298.7568305983857,1306.1769817096986,1314.2306729907225,1319.2602587112378,1322.7145919622521,1323.1257663681472,1335.7580458822213,1341.6199813951007,1344.8999527740116,1337.2155168664253,1340.3949004655167,1337.26212688645,1340.7186746770476,1345.1627694466183,1352.7927584810122,1363.531491680295,1369.3995280506967,1377.745865056303,1389.9669631133631,1395.6875473843322,1400.2882163530098,1399.1325268146118,1397.2828321546676,1389.6098271522233,1381.249446961657,1384.2871018831286,1391.3382909718896,1399.3242117092504,1398.3844206841225,1394.4677316248572,1390.8621727717564,1390.5391197265492,1392.5576121635406,1396.178297446685,1398.8648518687546,1403.1648156911306,1402.509280701043,1397.7049649176968,1397.3879051418467,1405.5488157261539,1430.4097906461297,1460.6753207264535,1494.7600409168679,1527.2605704747584,1555.5694358448873,1581.670273201692,1594.393013137485,1604.0103063034153,1611.8782405404684,1627.3443220258753,1646.3254743629066,1653.963211876287,1676.3386571300903,1700.2553749835095,1743.7305922157852,1765.8523777086536,1775.8562765129768,1771.937855285388,1757.8598956797164,1746.3016599573439,1731.3198808256752,1727.9652679965436,1727.1433158164746,1730.8235783100733,1738.6077295766706,1748.866441761111,1758.8633676304946,1764.4153718062626,1765.021585669656
